Split Number,mean_squared_error,mean_absolute_error,mean_absolute_percentage_error
259,1.3191147006659879e-06,0.0006196218334628485,1.280686780955681e-05
260,1.3217247036101751e-06,0.0006266951519785523,1.284604158496484e-05
261,1.2960860390453148e-06,0.000621269370558909,1.2990793882560035e-05
262,1.2933510311704765e-06,0.0006228665903290092,1.3165820844953009e-05
263,1.3492584797622377e-06,0.0006258612382819406,1.2964773627057082e-05
264,1.3288709519974877e-06,0.0006233455298795271,1.279650511186914e-05
265,1.3176816396771066e-06,0.0006294996044910056,1.3073835408153264e-05
266,1.2868030896728419e-06,0.0006192016621081433,1.2897561995197868e-05
267,1.2844401706877232e-06,0.0006120802008914161,1.3044013059641304e-05
268,1.3264658915102812e-06,0.0006250340395691377,1.3060424098039549e-05
269,1.3210552794606487e-06,0.0006201878328668066,1.2756224213979271e-05
270,1.3070407252517697e-06,0.0006242677962491866,1.2968127886560305e-05
271,1.3207715155299515e-06,0.0006194146432437299,1.2892275609148018e-05
272,1.3212744412452286e-06,0.0006203577397851526,1.2893228238909485e-05
273,1.2970804604590695e-06,0.0006183952745948297,1.305148820798389e-05
274,1.3135521216885443e-06,0.0006241082509771591,1.3115683048509245e-05
275,1.2967120564430729e-06,0.0006190918300962005,1.2736956172192823e-05
276,1.3373897340985452e-06,0.0006281059400713475,1.3021821709800867e-05
277,1.330325871319375e-06,0.0006255246625682731,1.3146623831359268e-05
278,1.3585028837192563e-06,0.0006358649976547826,1.3201831097537585e-05
279,1.3399382424689114e-06,0.0006172552558087754,1.2798127026636299e-05
280,1.3009232363115655e-06,0.0006191770128316828,1.3008938306739842e-05
281,1.3245095584737986e-06,0.0006234181255220636,1.2817906083881616e-05
282,1.309792493284895e-06,0.0006251483750204499,1.300523509085092e-05
283,1.3033924204020443e-06,0.0006177684624325643,1.2861621825874022e-05
284,1.3400595217446204e-06,0.0006272608990258413,1.3039181071184752e-05
285,1.3016224412918943e-06,0.0006210424875365059,1.2828252477159764e-05
286,1.326875488782501e-06,0.0006187381458662883,1.2728743923111148e-05
287,1.3201004590237471e-06,0.0006160814978265017,1.261336596462331e-05
288,1.3245108613148543e-06,0.0006200507744384987,1.2909799542786204e-05
289,1.3226745908591476e-06,0.0006232563193579959,1.2967777579756571e-05
290,1.3122849643153565e-06,0.0006194516439227736,1.2830090844334602e-05
291,1.329055067252472e-06,0.0006214345768439438,1.2903304471437362e-05
292,1.3565854465630239e-06,0.0006196470936872904,1.2756326942466924e-05
293,1.3173768674040306e-06,0.0006319523362809119,1.3178883396548458e-05
294,1.3401715793802138e-06,0.0006254866966502938,1.2792036806981886e-05
295,1.3215966859550334e-06,0.0006158300096697324,1.269876114777914e-05
296,1.3403032949551442e-06,0.0006209484036294635,1.274510206824813e-05
297,1.3211916454668516e-06,0.0006299928392450282,1.300243908273084e-05
298,1.3430802360948666e-06,0.000622717446062182,1.291479972536291e-05
299,1.3255063576324248e-06,0.0006199137785690159,1.2881645814398545e-05
300,1.3051273911102694e-06,0.0006227560266493113,1.301517670538025e-05
301,1.2808597935767228e-06,0.0006204497540013948,1.294905706266041e-05
302,1.313383722980294e-06,0.0006202820077947907,1.2902765113382435e-05
303,1.327340490628967e-06,0.0006257163779691542,1.2874350236208376e-05
304,1.3156190086615076e-06,0.0006175324912220943,1.2910289010685972e-05
305,1.310820066909598e-06,0.0006229183228377528,1.2821584771675417e-05
306,1.3282232562534673e-06,0.0006265565998795545,1.2956774344595454e-05
307,1.2880216668603219e-06,0.0006162258179162839,1.2981976193253323e-05
308,1.3367341092664853e-06,0.0006232523153853613,1.2988343087465493e-05
309,1.3141053235103147e-06,0.0006112433809280322,1.2629014497837927e-05
310,1.330079471696339e-06,0.0006170746611735399,1.2841145469334347e-05
311,1.294165543206233e-06,0.0006151370560662364,1.3047486689595169e-05
312,1.293305246052255e-06,0.0006176877304565667,1.268793493448128e-05
313,1.3002765566436353e-06,0.000623490790265396,1.3150733510355704e-05
314,1.3375635024196935e-06,0.0006263183190826863,1.3014405268442855e-05
315,1.3382163796750397e-06,0.0006213056059903161,1.2969252169070844e-05
316,1.3570040658021054e-06,0.0006294248944784548,1.2983057684221297e-05
317,1.3494714945739437e-06,0.0006294860624114483,1.294387138192909e-05
318,1.3680546420925852e-06,0.0006303678895595581,1.3248200737393356e-05
319,1.3305640907078813e-06,0.0006201680065390207,1.3116497847617353e-05
320,1.3532553670123318e-06,0.0006214312892490889,1.2974059886501172e-05
321,1.2899843726743373e-06,0.000618233839779914,1.2966568974703131e-05
322,1.314469691894857e-06,0.0006228677254124151,1.2895413964440771e-05
323,1.338165762381766e-06,0.0006298180487662356,1.2958749196790603e-05
324,1.301378776419597e-06,0.0006205349278070871,1.2924267529259854e-05
325,1.3578660485979674e-06,0.0006231518333894771,1.2975106087741377e-05
326,1.3272712078335408e-06,0.0006246516718806665,1.3112108262537831e-05
327,1.3677151104305877e-06,0.0006302554309810316,1.2978988535708621e-05
328,1.3355188762856647e-06,0.0006247324822110575,1.3006019850097529e-05
329,1.3087801913827891e-06,0.0006220641365742802,1.2915893557332113e-05
330,1.3180337352863573e-06,0.0006240623056575925,1.2749585112535572e-05
331,1.2685834674696616e-06,0.0006180535908270837,1.311122088765194e-05
332,1.3128898248402936e-06,0.0006220863249230821,1.2922480737334927e-05
333,1.2981519089258417e-06,0.0006219454086650028,1.2832117342752414e-05
334,1.336722572944603e-06,0.0006238558618689252,1.2868348099319902e-05
335,1.3204110836697176e-06,0.0006254451081544908,1.2883836707607423e-05
336,1.3236137706232518e-06,0.0006232364130409136,1.3010640761101529e-05
337,1.313220672914482e-06,0.0006270010993323967,1.3102012883722132e-05
338,1.312466928207754e-06,0.0006246809953425082,1.301662777645435e-05
339,1.3037261090349747e-06,0.0006227374865236682,1.2892550898458393e-05
340,1.3595417866988744e-06,0.0006251739670916809,1.2830317161234354e-05
341,1.3407728638635199e-06,0.0006208390389356088,1.278905712236201e-05
342,1.3122593192516357e-06,0.0006166185163929644,1.2988830504233583e-05
343,1.3365770546167078e-06,0.0006279958189663688,1.2834808357563539e-05
344,1.34577715667781e-06,0.0006300544608399206,1.3131562066212378e-05
345,1.2739210275092385e-06,0.0006157558586945309,1.2871892823530628e-05
346,1.2885445224022076e-06,0.0006178970540870964,1.2989380764168691e-05
347,1.3043999795545397e-06,0.00061645652924919,1.2995792392355133e-05
348,1.3186706928331873e-06,0.0006247513677030512,1.3090557526154902e-05
349,1.2831009998483532e-06,0.0006214720250140344,1.3063654206893604e-05
350,1.307903353775632e-06,0.0006225921607825457,1.2881000404071617e-05
351,1.3440747465074386e-06,0.0006254551405612651,1.2773169243654204e-05
352,1.3288645169766486e-06,0.0006256161933823959,1.3121522764759863e-05
353,1.3715090588804168e-06,0.0006274974401449437,1.2887692167193968e-05
354,1.3113620750385053e-06,0.0006207754524218543,1.2973963122017581e-05
355,1.3290346257592016e-06,0.0006217362925548348,1.2798160896887365e-05
356,1.323922609366152e-06,0.0006270726018432113,1.3313539968994555e-05
357,1.2862049545378763e-06,0.0006083822290325758,1.2681078583966934e-05
358,1.3265647093190757e-06,0.0006236888148660179,1.2678470357533017e-05
359,1.2594253874899262e-06,0.0006104713117915951,1.2979843254640062e-05
360,1.319113627110203e-06,0.0006271047476672359,1.3102550374459238e-05
361,1.319732945417067e-06,0.0006252650307626102,1.3046905316369902e-05
362,1.341328945347832e-06,0.0006267217553674152,1.3009904861168189e-05
363,1.3436461172162113e-06,0.0006307300837970503,1.3010615021116704e-05
364,1.3552037145183557e-06,0.0006319054519177445,1.3111092834120344e-05
365,1.3021359067208445e-06,0.000620914344565005,1.2983327965071361e-05
366,1.2868396147303646e-06,0.0006129732250106946,1.2832673109139553e-05
367,1.345358354022852e-06,0.0006286874219487035,1.294544474076562e-05
368,1.3279185914478528e-06,0.000627748956856453,1.3120948672075527e-05
369,1.326343256593756e-06,0.0006301033249605428,1.3213186701956386e-05
370,1.360543260490422e-06,0.0006272948784998629,1.3167924583421671e-05
371,1.3267620696992275e-06,0.0006175686769384928,1.2824903165502792e-05
372,1.3296080287991248e-06,0.0006263755105979842,1.2925379140134375e-05
373,1.3426494229640493e-06,0.0006263402374058219,1.3001841916312607e-05
374,1.2988514461401516e-06,0.0006167523897510655,1.2955302566017824e-05
375,1.3368252097243198e-06,0.0006317615950102611,1.3062077514782173e-05
376,1.3030359879657728e-06,0.0006249599431387298,1.315608439559564e-05
377,1.2869360958115028e-06,0.0006167701839552718,1.2943621004290632e-05
378,1.3222479575920828e-06,0.000620967839021538,1.2691624340006406e-05
379,1.3775808102841692e-06,0.0006227543639045595,1.2729530841661577e-05
380,1.3276512816557687e-06,0.000624191194845066,1.3023450654257742e-05
381,1.3362826017520076e-06,0.0006251456404385903,1.2961161219443194e-05
382,1.253680897029934e-06,0.0006064350553061317,1.2770705987112408e-05
383,1.3392706834617417e-06,0.0006319751449814723,1.3115913106394738e-05
384,1.3246744549757937e-06,0.0006280524514601212,1.3202680163410176e-05
385,1.3042554759335217e-06,0.000617824146712411,1.2905411438497829e-05
386,1.3489349110910114e-06,0.0006282932123173719,1.2939459628707513e-05
387,1.3030949546563446e-06,0.0006253189264647786,1.3169864297608855e-05
388,1.3301197887564982e-06,0.000619759522180052,1.2683455823864694e-05
